support,itemsets
0.663333,"frozenset({'(-0.003, 1.0]'})"
0.651667,frozenset({'NO_mortgage'})
0.506667,frozenset({'NO_car'})
0.5,frozenset({'FEMALE'})
0.475,"frozenset({'(4956.094, 24386.173]'})"
0.456667,frozenset({'YES_pep'})
0.448333,frozenset({'INNER_CITY'})
0.356667,"frozenset({'(34.333, 50.667]'})"
0.34,frozenset({'NO_married'})
0.31,frozenset({'NO_save_act'})
0.241667,frozenset({'NO_current_act'})
0.758333,frozenset({'YES_current_act'})
0.66,frozenset({'YES_married'})
0.543333,frozenset({'NO_pep'})
0.5,frozenset({'MALE'})
0.493333,frozenset({'YES_car'})
0.391667,"frozenset({'(24386.173, 43758.137]'})"
0.348333,frozenset({'YES_mortgage'})
0.288333,frozenset({'TOWN'})
0.69,frozenset({'YES_save_act'})
0.318333,"frozenset({'(50.667, 67.0]'})"
0.325,"frozenset({'(17.951, 34.333]'})"
0.223333,"frozenset({'(1.0, 2.0]'})"
0.5,"frozenset({'YES_current_act', '(-0.003, 1.0]'})"
0.448333,"frozenset({'(-0.003, 1.0]', 'YES_save_act'})"
0.343333,"frozenset({'YES_current_act', '(-0.003, 1.0]', 'YES_save_act'})"
0.413333,"frozenset({'(-0.003, 1.0]', 'NO_mortgage'})"
0.501667,"frozenset({'YES_current_act', 'NO_mortgage'})"
0.45,"frozenset({'YES_save_act', 'NO_mortgage'})"
0.435,"frozenset({'YES_married', 'NO_mortgage'})"
0.321667,"frozenset({'YES_current_act', '(-0.003, 1.0]', 'NO_mortgage'})"
0.286667,"frozenset({'YES_married', '(-0.003, 1.0]', 'NO_mortgage'})"
0.278333,"frozenset({'(-0.003, 1.0]', 'YES_save_act', 'NO_mortgage'})"
0.221667,"frozenset({'YES_married', 'YES_current_act', '(-0.003, 1.0]', 'NO_mortgage'})"
0.223333,"frozenset({'YES_current_act', '(-0.003, 1.0]', 'YES_save_act', 'NO_mortgage'})"
0.353333,"frozenset({'YES_current_act', 'YES_save_act', 'NO_mortgage'})"
0.331667,"frozenset({'YES_married', 'YES_current_act', 'NO_mortgage'})"
0.306667,"frozenset({'YES_married', 'YES_save_act', 'NO_mortgage'})"
0.236667,"frozenset({'YES_married', 'YES_current_act', 'YES_save_act', 'NO_mortgage'})"
0.345,"frozenset({'(-0.003, 1.0]', 'NO_car'})"
0.328333,"frozenset({'NO_car', 'NO_mortgage'})"
0.391667,"frozenset({'YES_current_act', 'NO_car'})"
0.336667,"frozenset({'YES_married', 'NO_car'})"
0.28,"frozenset({'NO_pep', 'NO_car'})"
0.341667,"frozenset({'NO_car', 'YES_save_act'})"
0.265,"frozenset({'YES_current_act', '(-0.003, 1.0]', 'NO_car'})"
0.218333,"frozenset({'(-0.003, 1.0]', 'NO_car', 'NO_mortgage'})"
0.263333,"frozenset({'YES_current_act', 'NO_car', 'NO_mortgage'})"
0.221667,"frozenset({'YES_married', 'NO_car', 'NO_mortgage'})"
0.215,"frozenset({'NO_car', 'YES_save_act', 'NO_mortgage'})"
0.251667,"frozenset({'YES_married', 'YES_current_act', 'NO_car'})"
0.233333,"frozenset({'YES_married', '(-0.003, 1.0]', 'NO_car'})"
0.221667,"frozenset({'NO_car', 'YES_married', 'YES_save_act'})"
0.21,"frozenset({'YES_married', 'NO_pep', 'NO_car'})"
0.208333,"frozenset({'YES_current_act', 'NO_pep', 'NO_car'})"
0.225,"frozenset({'NO_car', '(-0.003, 1.0]', 'YES_save_act'})"
0.265,"frozenset({'NO_car', 'YES_current_act', 'YES_save_act'})"
0.341667,"frozenset({'FEMALE', 'NO_mortgage'})"
0.33,"frozenset({'FEMALE', '(-0.003, 1.0]'})"
0.255,"frozenset({'FEMALE', 'NO_car'})"
0.383333,"frozenset({'FEMALE', 'YES_current_act'})"
0.343333,"frozenset({'FEMALE', 'YES_save_act'})"
0.325,"frozenset({'YES_married', 'FEMALE'})"
0.283333,"frozenset({'FEMALE', 'NO_pep'})"
0.265,"frozenset({'FEMALE', 'YES_current_act', 'NO_mortgage'})"
0.23,"frozenset({'FEMALE', 'YES_save_act', 'NO_mortgage'})"
0.216667,"frozenset({'FEMALE', '(-0.003, 1.0]', 'NO_mortgage'})"
0.255,"frozenset({'FEMALE', 'YES_current_act', '(-0.003, 1.0]'})"
0.223333,"frozenset({'FEMALE', '(-0.003, 1.0]', 'YES_save_act'})"
0.2,"frozenset({'FEMALE', 'YES_current_act', 'NO_car'})"
0.266667,"frozenset({'FEMALE', 'YES_current_act', 'YES_save_act'})"
0.243333,"frozenset({'YES_married', 'FEMALE', 'YES_current_act'})"
0.23,"frozenset({'YES_married', 'FEMALE', 'NO_mortgage'})"
0.228333,"frozenset({'YES_married', 'FEMALE', 'YES_save_act'})"
